Time_odroid,Current_Time,Latitude,Latitude_direction,Longitude,Longitude_direction,Number_of_satellites
1522234782.27,12:59:26,49.127107,N,9.2170415,E,07
1522234783.28,12:59:27,49.1271416667,N,9.21706083333,E,08
1522234784.28,12:59:28,49.1272056667,N,9.217082,E,08
1522234785.28,12:59:29,49.1272831667,N,9.21709483333,E,08
1522234786.27,12:59:30,49.12736,N,9.21710716667,E,08
1522234787.28,12:59:31,49.127442,N,9.21711983333,E,08
1522234788.27,12:59:32,49.1275343333,N,9.21713916667,E,08
1522234789.28,12:59:33,49.127635,N,9.21715966667,E,08
1522234790.27,12:59:34,49.1277413333,N,9.2171795,E,08
1522234791.27,12:59:35,49.1278491667,N,9.21720316667,E,08
1522234792.27,12:59:36,49.127955,N,9.217235,E,06
1522234793.28,12:59:37,49.1280566667,N,9.21726183333,E,07
1522234794.27,12:59:38,49.128163,N,9.21728566667,E,07
1522234795.28,12:59:39,49.1282618333,N,9.21731283333,E,07
1522234796.28,12:59:40,49.1283655,N,9.21733633333,E,07
1522234797.28,12:59:41,49.1284691667,N,9.21736083333,E,07
1522234798.27,12:59:42,49.1285763333,N,9.21738366667,E,08
1522234799.28,12:59:43,49.1286863333,N,9.21740633333,E,08
1522234800.27,12:59:44,49.1287971667,N,9.21742866667,E,08
1522234801.27,12:59:45,49.1289083333,N,9.21745216667,E,08
1522234802.27,12:59:46,49.1290196667,N,9.21747066667,E,08
1522234803.28,12:59:47,49.1291368333,N,9.21749183333,E,08
1522234804.27,12:59:48,49.1292496667,N,9.21751433333,E,08
1522234805.28,12:59:49,49.1293633333,N,9.21753883333,E,08
1522234806.27,12:59:50,49.1294696667,N,9.21756083333,E,08
1522234807.28,12:59:51,49.129585,N,9.21758566667,E,08
1522234808.27,12:59:52,49.129699,N,9.217613,E,08
1522234809.28,12:59:53,49.1298068333,N,9.21763733333,E,08
1522234810.27,12:59:54,49.1299043333,N,9.21765866667,E,08
1522234811.28,12:59:55,49.1299845,N,9.217678,E,08
1522234812.27,12:59:56,49.1300511667,N,9.21769483333,E,08
1522234813.28,12:59:57,49.1301005,N,9.217704,E,08
1522234814.27,12:59:58,49.130145,N,9.2177155,E,08
1522234815.28,12:59:59,49.130171,N,9.21772133333,E,08
1522234816.27,13:00:00,49.1301878333,N,9.21772316667,E,08
1522234817.28,13:00:01,49.1301915,N,9.21772183333,E,08
1522234818.28,13:00:02,49.1301861667,N,9.21771583333,E,08
1522234819.28,13:00:03,49.1301823333,N,9.217711,E,08
1522234820.28,13:00:04,49.1301768333,N,9.21770483333,E,08
1522234821.28,13:00:05,49.1301656667,N,9.2176955,E,08
1522234822.28,13:00:06,49.1301555,N,9.217684,E,08
1522234823.28,13:00:07,49.1301695,N,9.2176855,E,07
1522234824.28,13:00:08,49.1302058333,N,9.21769816667,E,07
1522234825.28,13:00:09,49.1302656667,N,9.21772166667,E,07
1522234826.27,13:00:10,49.1303361667,N,9.2177455,E,07
1522234827.28,13:00:11,49.1304111667,N,9.21777216667,E,08
1522234828.27,13:00:12,49.130499,N,9.217799,E,08
1522234829.27,13:00:13,49.1306033333,N,9.21783133333,E,08
1522234830.27,13:00:14,49.130716,N,9.21786133333,E,08
1522234831.28,13:00:15,49.1308298333,N,9.21789683333,E,08
1522234832.28,13:00:16,49.1309403333,N,9.21792966667,E,08
1522234833.28,13:00:17,49.1310485,N,9.2179665,E,08
1522234834.28,13:00:18,49.1311533333,N,9.21800316667,E,08
1522234835.28,13:00:19,49.1312523333,N,9.218039,E,08
1522234836.27,13:00:20,49.1313543333,N,9.21807733333,E,08
1522234837.28,13:00:21,49.1314555,N,9.21811983333,E,08
1522234838.28,13:00:22,49.1315573333,N,9.21817333333,E,08
1522234839.28,13:00:23,49.1316465,N,9.218236,E,08
1522234840.28,13:00:24,49.1317335,N,9.21830683333,E,07
1522234841.28,13:00:25,49.1318185,N,9.21838283333,E,07
1522234842.27,13:00:26,49.1318911667,N,9.21847833333,E,06
1522234843.28,13:00:27,49.131973,N,9.21855566667,E,07
1522234844.27,13:00:28,49.1320623333,N,9.21863083333,E,06
1522234845.27,13:00:29,49.1320973333,N,9.21874916667,E,05
1522234846.27,13:00:30,49.1320845,N,9.21890466667,E,06
1522234847.28,13:00:31,49.132086,N,9.2190585,E,07
1522234848.27,13:00:32,49.13208,N,9.21921283333,E,08
1522234849.28,13:00:33,49.1320808333,N,9.21936283333,E,08
1522234850.27,13:00:34,49.132086,N,9.21950233333,E,08
1522234851.28,13:00:35,49.1320805,N,9.21962783333,E,08
1522234852.27,13:00:36,49.1320878333,N,9.21973683333,E,08
1522234853.27,13:00:37,49.1320793333,N,9.21983033333,E,07
1522234854.28,13:00:38,49.1320706667,N,9.21989666667,E,08
1522234855.28,13:00:39,49.1320541667,N,9.21989933333,E,08
1522234856.32,13:00:40,49.1320536667,N,9.21990683333,E,08
1522234857.29,13:00:41,49.132132,N,9.21988716667,E,07
1522234858.28,13:00:42,49.132233,N,9.21991766667,E,08
1522234859.28,13:00:43,49.132356,N,9.21994583333,E,08
1522234860.28,13:00:44,49.1324788333,N,9.2199775,E,08
1522234861.29,13:00:45,49.1325711667,N,9.220002,E,08
